"Customer ID","First Name","Last Name","Email","Phone","Join date","First purchase","Total Spent","Location","Tags","Notes"
"400026","Charles","Moore","charles.moore@example.com","555-4103","2025-09-05T03:59:00.000Z","New Flyer 3 Class Pack","167.98","Main Studio","",""
"400027","David","Williams","david.williams@example.com","555-5293","2025-07-03T15:58:00.000Z","4-Class Monthly Membership","154.87","Main Studio","",""
"400028","Harper","Anderson","harper.anderson@example.com","555-1534","2025-09-15T06:05:00.000Z","4-Class Monthly Membership","139.89","Main Studio","",""
"400029","Charlotte","Taylor","charlotte.taylor@example.com","555-5419","2025-09-09T12:54:00.000Z","Drop-in Class","207.54","Main Studio","",""
"400030","Mia","Davis","mia.davis@example.com","555-2590","2025-09-23T01:05:00.000Z","Drop-in Class","54.81","Main Studio","",""
"400031","Charles","Jones","charles.jones@example.com","555-1218","2025-09-19T13:27:00.000Z","","0.00","Main Studio","",""
"400032","Charles","Martinez","charles.martinez@example.com","555-1406","2025-08-01T21:50:00.000Z","","0.00","Main Studio","",""
"400033","Ava","Wilson","ava.wilson@example.com","555-6868","2025-09-13T16:50:00.000Z","New Flyer 3 Class Pack","89.18","Main Studio","",""
"400034","Thomas","Martin","thomas.martin@example.com","555-4328","2025-07-19T12:02:00.000Z","Drop-in Class","183.12","Main Studio","",""
"400035","Evelyn","Taylor","evelyn.taylor@example.com","555-3773","2025-09-07T09:18:00.000Z","4-Class Monthly Membership","147.11","Main Studio","",""
"400036","James","Moore","james.moore@example.com","555-8873","2025-07-09T03:18:00.000Z","4-Class Monthly Membership","154.68","Main Studio","",""
"400037","Olivia","Williams","olivia.williams@example.com","555-6622","2025-09-12T12:49:00.000Z","","0.00","Main Studio","",""
"400038","Evelyn","Moore","evelyn.moore@example.com","555-1058","2025-09-17T00:31:00.000Z","Drop-in Class","101.05","Main Studio","",""
"400039","Olivia","Johnson","olivia.johnson@example.com","555-3815","2025-07-19T23:09:00.000Z","Unlimited 14 Day Intro Package","230.79","Main Studio","",""
"400040","Evelyn","Davis","evelyn.davis@example.com","555-4334","2025-08-27T20:00:00.000Z","New Flyer 3 Class Pack","72.88","Main Studio","",""
"400041","Mia","Johnson","mia.johnson@example.com","555-1918","2025-07-10T02:16:00.000Z","Unlimited 14 Day Intro Package","84.90","Main Studio","",""
"400042","Charles","Martin","charles.martin@example.com","555-9361","2025-07-08T08:18:00.000Z","Drop-in Class","227.10","Main Studio","",""
"400043","Daniel","Hernandez","daniel.hernandez@example.com","555-0623","2025-07-06T15:20:00.000Z","Unlimited 14 Day Intro Package","174.34","Main Studio","",""
"400044","John","Brown","john.brown@example.com","555-9007","2025-08-15T23:36:00.000Z","Drop-in Class","182.73","Main Studio","",""
"400045","Robert","Thomas","robert.thomas@example.com","555-7508","2025-07-11T13:34:00.000Z","Drop-in Class","239.70","Main Studio","",""
"400046","Amelia","Jones","amelia.jones@example.com","555-8784","2025-07-02T21:28:00.000Z","4-Class Monthly Membership","165.64","Main Studio","",""
"400047","Evelyn","Jackson","evelyn.jackson@example.com","555-4617","2025-09-16T16:20:00.000Z","","0.00","Main Studio","",""
"400048","Olivia","Anderson","olivia.anderson@example.com","555-4729","2025-09-22T07:28:00.000Z","Drop-in Class","232.33","Main Studio","",""
"400049","David","Williams","david.williams@example.com","555-3270","2025-08-18T09:05:00.000Z","New Flyer 3 Class Pack","116.22","Main Studio","",""
"400050","Emma","Brown","emma.brown@example.com","555-1446","2025-09-06T14:53:00.000Z","4-Class Monthly Membership","103.76","Main Studio","",""
"400051","David","Moore","david.moore@example.com","555-5575","2025-09-20T15:05:00.000Z","","0.00","Main Studio","",""
"400052","Daniel","Williams","daniel.williams@example.com","555-6825","2025-07-21T04:32:00.000Z","","0.00","Main Studio","",""
"400053","Robert","Martinez","robert.martinez@example.com","555-9805","2025-09-26T04:45:00.000Z","Drop-in Class","154.45","Main Studio","",""
"400054","Thomas","Garcia","thomas.garcia@example.com","555-9415","2025-09-05T14:42:00.000Z","","0.00","Main Studio","",""
"400055","Isabella","Garcia","isabella.garcia@example.com","555-9128","2025-08-23T09:33:00.000Z","4-Class Monthly Membership","175.68","Main Studio","",""
"400056","Amelia","Thomas","amelia.thomas@example.com","555-1657","2025-08-19T04:04:00.000Z","New Flyer 3 Class Pack","196.55","Main Studio","",""
"400057","Thomas","Rodriguez","thomas.rodriguez@example.com","555-7879","2025-09-11T06:23:00.000Z","New Flyer 6 Class Pack","237.63","Main Studio","",""
"400058","Sophia","Williams","sophia.williams@example.com","555-1597","2025-07-06T16:34:00.000Z","Drop-in Class","164.76","Main Studio","",""
"400059","Robert","Thomas","robert.thomas@example.com","555-7146","2025-07-18T13:28:00.000Z","Unlimited 14 Day Intro Package","203.37","Main Studio","",""
"400060","James","Jackson","james.jackson@example.com","555-2395","2025-09-20T15:06:00.000Z","New Flyer 6 Class Pack","153.18","Main Studio","",""
"400061","Charlotte","Jackson","charlotte.jackson@example.com","555-3933","2025-07-12T12:32:00.000Z","Drop-in Class","197.55","Main Studio","",""
"400062","James","Martin","james.martin@example.com","555-4429","2025-08-04T11:35:00.000Z","","0.00","Main Studio","",""
"400063","Isabella","Gonzalez","isabella.gonzalez@example.com","555-3214","2025-07-14T05:01:00.000Z","","0.00","Main Studio","",""
"400064","Harper","Hernandez","harper.hernandez@example.com","555-4626","2025-07-24T22:29:00.000Z","New Flyer 6 Class Pack","228.15","Main Studio","",""
"400065","Daniel","Gonzalez","daniel.gonzalez@example.com","555-8640","2025-07-11T01:50:00.000Z","New Flyer 6 Class Pack","163.84","Main Studio","",""
"400066","David","Gonzalez","david.gonzalez@example.com","555-7669","2025-08-05T09:20:00.000Z","New Flyer 6 Class Pack","91.38","Main Studio","",""
"400067","David","Williams","david.williams@example.com","555-4638","2025-08-09T15:17:00.000Z","","0.00","Main Studio","",""
"400068","Harper","Brown","harper.brown@example.com","555-2988","2025-07-22T06:49:00.000Z","New Flyer 6 Class Pack","108.96","Main Studio","",""
"400069","Mia","Martinez","mia.martinez@example.com","555-8716","2025-08-21T05:28:00.000Z","4-Class Monthly Membership","157.64","Main Studio","",""
"400070","Harper","Jackson","harper.jackson@example.com","555-6364","2025-07-15T13:43:00.000Z","Unlimited 14 Day Intro Package","57.00","Main Studio","",""
"400071","Harper","Taylor","harper.taylor@example.com","555-0693","2025-09-02T08:40:00.000Z","New Flyer 3 Class Pack","157.55","Main Studio","",""
"400072","Isabella","Jackson","isabella.jackson@example.com","555-1639","2025-08-03T15:19:00.000Z","4-Class Monthly Membership","62.11","Main Studio","",""
"400073","Thomas","Lopez","thomas.lopez@example.com","555-3600","2025-09-04T14:27:00.000Z","Unlimited 14 Day Intro Package","217.24","Main Studio","",""
"400074","Joseph","Thomas","joseph.thomas@example.com","555-9468","2025-07-01T10:26:00.000Z","Drop-in Class","185.68","Main Studio","",""
"400075","Daniel","Anderson","daniel.anderson@example.com","555-4599","2025-07-20T19:47:00.000Z","New Flyer 6 Class Pack","227.15","Main Studio","",""
"400076","David","Smith","david.smith@example.com","555-5301","2025-08-28T20:21:00.000Z","","0.00","Main Studio","",""
"400077","James","Taylor","james.taylor@example.com","555-7701","2025-09-25T19:47:00.000Z","4-Class Monthly Membership","95.02","Main Studio","",""
"400078","David","Hernandez","david.hernandez@example.com","555-1757","2025-08-18T12:42:00.000Z","4-Class Monthly Membership","130.13","Main Studio","",""
"400079","Ava","Anderson","ava.anderson@example.com","555-3669","2025-09-08T06:02:00.000Z","Drop-in Class","240.10","Main Studio","",""
"400080","Ava","Miller","ava.miller@example.com","555-0976","2025-09-18T10:10:00.000Z","New Flyer 6 Class Pack","236.40","Main Studio","",""
"400081","John","Rodriguez","john.rodriguez@example.com","555-9070","2025-07-15T19:33:00.000Z","New Flyer 6 Class Pack","61.45","Main Studio","",""
"400082","Sophia","Hernandez","sophia.hernandez@example.com","555-4039","2025-07-10T20:43:00.000Z","","0.00","Main Studio","",""
"400083","Mia","Jackson","mia.jackson@example.com","555-1133","2025-09-27T22:28:00.000Z","","0.00","Main Studio","",""
"400084","John","Wilson","john.wilson@example.com","555-4421","2025-09-20T16:18:00.000Z","Drop-in Class","247.43","Main Studio","",""
"400085","Daniel","Smith","daniel.smith@example.com","555-6521","2025-09-11T22:32:00.000Z","New Flyer 6 Class Pack","216.76","Main Studio","",""
"400086","Charlotte","Davis","charlotte.davis@example.com","555-3077","2025-07-23T09:50:00.000Z","Drop-in Class","147.27","Main Studio","",""
"400087","Joseph","Smith","joseph.smith@example.com","555-1906","2025-07-27T17:05:00.000Z","","0.00","Main Studio","",""
"400088","Isabella","Williams","isabella.williams@example.com","555-7049","2025-09-26T06:57:00.000Z","Unlimited 14 Day Intro Package","76.01","Main Studio","",""
"400089","Ava","Martin","ava.martin@example.com","555-9873","2025-07-07T00:25:00.000Z","4-Class Monthly Membership","134.04","Main Studio","",""
"400090","Isabella","Wilson","isabella.wilson@example.com","555-0152","2025-07-07T23:17:00.000Z","Drop-in Class","224.45","Main Studio","",""
"400091","James","Jackson","james.jackson@example.com","555-9061","2025-07-04T08:18:00.000Z","","0.00","Main Studio","",""
"400092","William","Wilson","william.wilson@example.com","555-4730","2025-08-26T12:30:00.000Z","4-Class Monthly Membership","247.23","Main Studio","",""
"400093","Isabella","Williams","isabella.williams@example.com","555-5733","2025-09-19T12:24:00.000Z","New Flyer 3 Class Pack","225.59","Main Studio","",""
"400094","Evelyn","Davis","evelyn.davis@example.com","555-3477","2025-08-17T03:16:00.000Z","","0.00","Main Studio","",""
"400095","Olivia","Moore","olivia.moore@example.com","555-0599","2025-09-01T15:41:00.000Z","4-Class Monthly Membership","98.71","Main Studio","",""
"400096","William","Taylor","william.taylor@example.com","555-3650","2025-07-07T22:48:00.000Z","New Flyer 6 Class Pack","204.43","Main Studio","",""
"400097","Robert","Taylor","robert.taylor@example.com","555-3846","2025-07-09T13:10:00.000Z","New Flyer 3 Class Pack","147.14","Main Studio","",""
"400098","Ava","Anderson","ava.anderson@example.com","555-7948","2025-08-13T19:06:00.000Z","Unlimited 14 Day Intro Package","242.51","Main Studio","",""
"400099","James","Thomas","james.thomas@example.com","555-1614","2025-08-10T03:45:00.000Z","New Flyer 3 Class Pack","75.74","Main Studio","",""
"400100","Michael","Smith","michael.smith@example.com","555-9774","2025-09-09T05:41:00.000Z","Unlimited 14 Day Intro Package","103.26","Main Studio","",""
"400101","Amelia","Martin","amelia.martin@example.com","555-2312","2025-08-03T03:55:00.000Z","4-Class Monthly Membership","240.40","Main Studio","",""
"400102","Amelia","Taylor","amelia.taylor@example.com","555-4597","2025-08-17T05:25:00.000Z","Unlimited 14 Day Intro Package","117.85","Main Studio","",""
"400103","David","Jones","david.jones@example.com","555-3270","2025-09-17T19:52:00.000Z","New Flyer 6 Class Pack","240.26","Main Studio","",""
"400104","Harper","Anderson","harper.anderson@example.com","555-7328","2025-09-21T05:47:00.000Z","Unlimited 14 Day Intro Package","85.44","Main Studio","",""
"400105","Olivia","Jackson","olivia.jackson@example.com","555-6642","2025-08-18T21:08:00.000Z","Unlimited 14 Day Intro Package","57.63","Main Studio","",""
"400106","Robert","Anderson","robert.anderson@example.com","555-5344","2025-09-11T16:57:00.000Z","New Flyer 6 Class Pack","64.29","Main Studio","",""
"400107","Michael","Jackson","michael.jackson@example.com","555-1476","2025-09-15T23:46:00.000Z","","0.00","Main Studio","",""
"400108","Evelyn","Wilson","evelyn.wilson@example.com","555-5239","2025-08-18T01:33:00.000Z","Drop-in Class","121.77","Main Studio","",""
"400109","Mia","Lopez","mia.lopez@example.com","555-3467","2025-07-04T22:42:00.000Z","4-Class Monthly Membership","120.25","Main Studio","",""
"400110","Daniel","Williams","daniel.williams@example.com","555-5728","2025-07-22T06:37:00.000Z","New Flyer 6 Class Pack","225.91","Main Studio","",""
"400111","David","Rodriguez","david.rodriguez@example.com","555-3797","2025-07-17T18:22:00.000Z","New Flyer 6 Class Pack","249.80","Main Studio","",""
"400112","Amelia","Williams","amelia.williams@example.com","555-0305","2025-07-16T21:06:00.000Z","New Flyer 6 Class Pack","222.66","Main Studio","",""
"400113","James","Brown","james.brown@example.com","555-3829","2025-08-24T18:48:00.000Z","Drop-in Class","92.28","Main Studio","",""
"400114","Charles","Martinez","charles.martinez@example.com","555-3162","2025-08-09T03:05:00.000Z","New Flyer 3 Class Pack","90.23","Main Studio","",""
"400115","John","Moore","john.moore@example.com","555-9183","2025-08-26T04:13:00.000Z","Drop-in Class","77.21","Main Studio","",""
"400116","Mia","Miller","mia.miller@example.com","555-5200","2025-09-13T19:42:00.000Z","New Flyer 3 Class Pack","159.34","Main Studio","",""
"400117","Emma","Brown","emma.brown@example.com","555-9604","2025-07-27T14:40:00.000Z","New Flyer 3 Class Pack","193.78","Main Studio","",""
"400118","William","Johnson","william.johnson@example.com","555-3334","2025-07-14T19:59:00.000Z","4-Class Monthly Membership","61.35","Main Studio","",""
"400119","Charlotte","Rodriguez","charlotte.rodriguez@example.com","555-0874","2025-07-09T08:30:00.000Z","","0.00","Main Studio","",""
"400120","Sophia","Davis","sophia.davis@example.com","555-2918","2025-09-23T07:56:00.000Z","New Flyer 3 Class Pack","50.36","Main Studio","",""
"400121","Charlotte","Lopez","charlotte.lopez@example.com","555-9405","2025-09-21T20:37:00.000Z","New Flyer 6 Class Pack","99.23","Main Studio","",""
"400122","Sophia","Gonzalez","sophia.gonzalez@example.com","555-9417","2025-08-07T22:01:00.000Z","New Flyer 3 Class Pack","143.57","Main Studio","",""
"400123","Ava","Gonzalez","ava.gonzalez@example.com","555-3262","2025-08-28T06:53:00.000Z","Drop-in Class","159.70","Main Studio","",""
"400124","John","Hernandez","john.hernandez@example.com","555-0863","2025-09-14T22:56:00.000Z","Drop-in Class","70.01","Main Studio","",""
"400125","William","Miller","william.miller@example.com","555-1886","2025-07-06T03:41:00.000Z","4-Class Monthly Membership","56.26","Main Studio","",""
"400126","Harper","Davis","harper.davis@example.com","555-3857","2025-09-05T07:19:00.000Z","Drop-in Class","56.13","Main Studio","",""
"400127","Isabella","Lopez","isabella.lopez@example.com","555-8187","2025-09-26T21:16:00.000Z","","0.00","Main Studio","",""
"400128","Joseph","Martin","joseph.martin@example.com","555-0677","2025-08-22T16:55:00.000Z","Drop-in Class","91.90","Main Studio","",""
"400129","Robert","Gonzalez","robert.gonzalez@example.com","555-3811","2025-07-17T01:14:00.000Z","New Flyer 3 Class Pack","208.31","Main Studio","",""
"400130","John","Wilson","john.wilson@example.com","555-1325","2025-07-24T08:56:00.000Z","Unlimited 14 Day Intro Package","170.99","Main Studio","",""
"400131","David","Hernandez","david.hernandez@example.com","555-7345","2025-07-25T19:17:00.000Z","New Flyer 3 Class Pack","126.20","Main Studio","",""
"400132","Robert","Johnson","robert.johnson@example.com","555-9135","2025-09-19T23:29:00.000Z","Drop-in Class","234.46","Main Studio","",""
"400133","Mia","Miller","mia.miller@example.com","555-6405","2025-09-06T04:46:00.000Z","New Flyer 3 Class Pack","249.69","Main Studio","",""
"400134","Robert","Smith","robert.smith@example.com","555-5553","2025-08-03T00:11:00.000Z","","0.00","Main Studio","",""
"400135","Robert","Moore","robert.moore@example.com","555-3304","2025-09-09T13:45:00.000Z","","0.00","Main Studio","",""
"400136","James","Rodriguez","james.rodriguez@example.com","555-5704","2025-07-03T01:10:00.000Z","","0.00","Main Studio","",""
"400137","Charles","Taylor","charles.taylor@example.com","555-6161","2025-08-12T12:54:00.000Z","New Flyer 3 Class Pack","240.33","Main Studio","",""
"400138","John","Jones","john.jones@example.com","555-8856","2025-07-11T03:13:00.000Z","Drop-in Class","112.93","Main Studio","",""
"400139","Harper","Taylor","harper.taylor@example.com","555-4949","2025-08-28T01:21:00.000Z","New Flyer 6 Class Pack","158.74","Main Studio","",""
"400140","Sophia","Williams","sophia.williams@example.com","555-1031","2025-09-01T10:40:00.000Z","New Flyer 6 Class Pack","182.31","Main Studio","",""
"400141","Ava","Davis","ava.davis@example.com","555-3444","2025-07-15T03:37:00.000Z","New Flyer 6 Class Pack","50.82","Main Studio","",""
"400142","Joseph","Thomas","joseph.thomas@example.com","555-4529","2025-09-13T17:11:00.000Z","New Flyer 6 Class Pack","51.66","Main Studio","",""
"400143","Daniel","Davis","daniel.davis@example.com","555-3067","2025-08-07T02:20:00.000Z","New Flyer 6 Class Pack","194.01","Main Studio","",""
"400144","Robert","Gonzalez","robert.gonzalez@example.com","555-3499","2025-07-05T20:22:00.000Z","Unlimited 14 Day Intro Package","148.76","Main Studio","",""
"400145","Sophia","Martinez","sophia.martinez@example.com","555-8700","2025-08-01T10:14:00.000Z","Unlimited 14 Day Intro Package","132.46","Main Studio","",""
"400146","Daniel","Johnson","daniel.johnson@example.com","555-2878","2025-07-12T08:07:00.000Z","New Flyer 6 Class Pack","206.01","Main Studio","",""
"400147","Daniel","Hernandez","daniel.hernandez@example.com","555-5682","2025-08-17T13:03:00.000Z","New Flyer 6 Class Pack","225.19","Main Studio","",""
"400148","Joseph","Rodriguez","joseph.rodriguez@example.com","555-4131","2025-08-18T02:27:00.000Z","Unlimited 14 Day Intro Package","146.28","Main Studio","",""
"400149","Joseph","Jones","joseph.jones@example.com","555-1722","2025-08-27T09:38:00.000Z","4-Class Monthly Membership","69.54","Main Studio","",""
"400150","David","Gonzalez","david.gonzalez@example.com","555-3418","2025-09-01T12:47:00.000Z","Unlimited 14 Day Intro Package","192.52","Main Studio","",""
"400151","Emma","Martinez","emma.martinez@example.com","555-1003","2025-08-07T07:40:00.000Z","New Flyer 3 Class Pack","78.10","Main Studio","",""
"400152","Ava","Martin","ava.martin@example.com","555-0143","2025-07-07T08:46:00.000Z","New Flyer 3 Class Pack","207.36","Main Studio","",""
"400153","Evelyn","Wilson","evelyn.wilson@example.com","555-0837","2025-09-08T17:19:00.000Z","Unlimited 14 Day Intro Package","172.30","Main Studio","",""
"400154","Emma","Jones","emma.jones@example.com","555-6527","2025-07-05T12:32:00.000Z","","0.00","Main Studio","",""
"400155","David","Moore","david.moore@example.com","555-9390","2025-07-21T06:14:00.000Z","","0.00","Main Studio","",""
"400156","Daniel","Jones","daniel.jones@example.com","555-0995","2025-09-18T09:33:00.000Z","","0.00","Main Studio","",""
"400157","David","Anderson","david.anderson@example.com","555-6784","2025-09-12T04:27:00.000Z","New Flyer 6 Class Pack","85.56","Main Studio","",""
"400158","David","Brown","david.brown@example.com","555-1248","2025-07-11T05:28:00.000Z","","0.00","Main Studio","",""
"400159","David","Williams","david.williams@example.com","555-3642","2025-07-02T19:19:00.000Z","Unlimited 14 Day Intro Package","97.62","Main Studio","",""
"400160","Robert","Gonzalez","robert.gonzalez@example.com","555-3082","2025-08-02T12:23:00.000Z","4-Class Monthly Membership","108.41","Main Studio","",""
"400161","Olivia","Johnson","olivia.johnson@example.com","555-1993","2025-07-21T20:04:00.000Z","Drop-in Class","135.49","Main Studio","",""
"400162","Isabella","Smith","isabella.smith@example.com","555-5321","2025-08-06T17:25:00.000Z","Drop-in Class","145.61","Main Studio","",""
"400163","David","Martin","david.martin@example.com","555-6888","2025-09-20T19:18:00.000Z","","0.00","Main Studio","",""
"400164","Michael","Lopez","michael.lopez@example.com","555-0543","2025-08-09T21:57:00.000Z","4-Class Monthly Membership","209.82","Main Studio","",""
"400165","Charles","Lopez","charles.lopez@example.com","555-0155","2025-08-02T04:41:00.000Z","","0.00","Main Studio","",""
"400166","Isabella","Anderson","isabella.anderson@example.com","555-5958","2025-08-17T21:06:00.000Z","4-Class Monthly Membership","83.30","Main Studio","",""
"400167","Daniel","Martinez","daniel.martinez@example.com","555-8667","2025-08-23T11:58:00.000Z","Unlimited 14 Day Intro Package","201.24","Main Studio","",""
"400168","Daniel","Davis","daniel.davis@example.com","555-5011","2025-07-06T02:25:00.000Z","Unlimited 14 Day Intro Package","168.41","Main Studio","",""
"400169","Harper","Williams","harper.williams@example.com","555-1898","2025-08-21T05:43:00.000Z","Unlimited 14 Day Intro Package","121.93","Main Studio","",""
"400170","Olivia","Moore","olivia.moore@example.com","555-0019","2025-09-19T21:04:00.000Z","4-Class Monthly Membership","224.13","Main Studio","",""
"400171","Isabella","Moore","isabella.moore@example.com","555-7014","2025-07-19T17:34:00.000Z","Drop-in Class","197.85","Main Studio","",""
"400172","Ava","Rodriguez","ava.rodriguez@example.com","555-0205","2025-09-04T21:03:00.000Z","Unlimited 14 Day Intro Package","221.13","Main Studio","",""
"400173","Harper","Anderson","harper.anderson@example.com","555-6675","2025-09-14T17:05:00.000Z","New Flyer 3 Class Pack","213.92","Main Studio","",""
"400174","John","Martinez","john.martinez@example.com","555-7644","2025-08-10T09:48:00.000Z","New Flyer 6 Class Pack","169.68","Main Studio","",""
"400175","Joseph","Johnson","joseph.johnson@example.com","555-9639","2025-09-23T14:37:00.000Z","","0.00","Main Studio","",""
"400176","Joseph","Brown","joseph.brown@example.com","555-1500","2025-07-18T06:08:00.000Z","","0.00","Main Studio","",""
"400177","Daniel","Johnson","daniel.johnson@example.com","555-7808","2025-08-07T09:17:00.000Z","New Flyer 6 Class Pack","120.07","Main Studio","",""
"400178","Robert","Martinez","robert.martinez@example.com","555-0852","2025-09-12T20:22:00.000Z","New Flyer 3 Class Pack","165.93","Main Studio","",""
"400179","Mia","Anderson","mia.anderson@example.com","555-7897","2025-07-19T11:14:00.000Z","4-Class Monthly Membership","130.03","Main Studio","",""
"400180","Evelyn","Moore","evelyn.moore@example.com","555-3334","2025-07-07T07:30:00.000Z","New Flyer 6 Class Pack","140.19","Main Studio","",""
"400181","Olivia","Davis","olivia.davis@example.com","555-5469","2025-08-02T01:34:00.000Z","Unlimited 14 Day Intro Package","68.42","Main Studio","",""
"400182","Michael","Taylor","michael.taylor@example.com","555-3557","2025-09-04T23:50:00.000Z","4-Class Monthly Membership","197.12","Main Studio","",""
"400183","Daniel","Miller","daniel.miller@example.com","555-2073","2025-07-19T12:01:00.000Z","4-Class Monthly Membership","167.74","Main Studio","",""
"400184","Charlotte","Moore","charlotte.moore@example.com","555-2999","2025-08-21T19:56:00.000Z","4-Class Monthly Membership","136.17","Main Studio","",""
"400185","Sophia","Garcia","sophia.garcia@example.com","555-6554","2025-07-14T14:46:00.000Z","Unlimited 14 Day Intro Package","187.40","Main Studio","",""
"400186","Sophia","Davis","sophia.davis@example.com","555-4678","2025-08-09T08:37:00.000Z","New Flyer 3 Class Pack","58.19","Main Studio","",""
"400187","Thomas","Jackson","thomas.jackson@example.com","555-5896","2025-08-06T16:12:00.000Z","Drop-in Class","224.02","Main Studio","",""
"400188","Evelyn","Rodriguez","evelyn.rodriguez@example.com","555-4851","2025-08-11T07:56:00.000Z","","0.00","Main Studio","",""
"400189","Charles","Jackson","charles.jackson@example.com","555-2364","2025-07-19T12:33:00.000Z","Drop-in Class","53.72","Main Studio","",""
"400190","John","Anderson","john.anderson@example.com","555-7999","2025-07-05T04:32:00.000Z","Unlimited 14 Day Intro Package","66.30","Main Studio","",""
"400191","Harper","Gonzalez","harper.gonzalez@example.com","555-4893","2025-07-22T14:38:00.000Z","New Flyer 3 Class Pack","238.39","Main Studio","",""
"400192","Harper","Miller","harper.miller@example.com","555-8418","2025-08-06T12:33:00.000Z","New Flyer 6 Class Pack","112.82","Main Studio","",""
"400193","Thomas","Taylor","thomas.taylor@example.com","555-8339","2025-07-23T21:05:00.000Z","Unlimited 14 Day Intro Package","239.50","Main Studio","",""
"400194","David","Wilson","david.wilson@example.com","555-6536","2025-07-15T16:13:00.000Z","Unlimited 14 Day Intro Package","118.37","Main Studio","",""
"400195","Ava","Moore","ava.moore@example.com","555-7594","2025-08-05T11:57:00.000Z","Drop-in Class","149.31","Main Studio","",""
"400196","Olivia","Rodriguez","olivia.rodriguez@example.com","555-7719","2025-07-10T16:20:00.000Z","4-Class Monthly Membership","132.31","Main Studio","",""
"400197","Sophia","Johnson","sophia.johnson@example.com","555-9538","2025-07-12T08:18:00.000Z","4-Class Monthly Membership","166.25","Main Studio","",""
"400198","John","Anderson","john.anderson@example.com","555-7779","2025-08-24T03:55:00.000Z","Drop-in Class","238.77","Main Studio","",""
