"Category","Item","Date","Sale value","Tax","Refunded","Payment method","Payment status","Sale reference","Sold by","Paying Customer email","Paying Customer name","Customer email","Customer name","Location","Note"
"Pack","10 Class Package","2025-09-04, 6:04 PM","280.00","0.00","0.00","Card","Succeeded","200000032","","daniel.hernandez@example.com","Daniel Hernandez","daniel.hernandez@example.com","Daniel Hernandez","Main Studio",""
"Class","Pole Level 1","2025-09-19, 1:19 AM","35.00","0.00","0.00","Card","Succeeded","200000033","","daniel.garcia@example.com","Daniel Garcia","daniel.garcia@example.com","Daniel Garcia","Main Studio",""
"Class","Intro to Pole: Dance","2025-09-01, 7:49 PM","35.00","0.00","0.00","Card","Succeeded","200000034","","michael.smith@example.com","Michael Smith","michael.smith@example.com","Michael Smith","Main Studio",""
"Class","Pole Level 2","2025-09-22, 4:21 AM","35.00","0.00","0.00","Card","Succeeded","200000035","","amelia.anderson@example.com","Amelia Anderson","amelia.anderson@example.com","Amelia Anderson","Main Studio",""
"Product","Studio Merchandise","2025-09-09, 11:56 AM","25.00","0.00","0.00","Card","Succeeded","200000036","","charlotte.johnson@example.com","Charlotte Johnson","charlotte.johnson@example.com","Charlotte Johnson","Main Studio",""
"Pack","New Flyer 6 Class Pack","2025-09-08, 11:10 PM","69.00","0.00","0.00","Card","Succeeded","200000037","","john.anderson@example.com","John Anderson","john.anderson@example.com","John Anderson","Main Studio",""
"Class","Intro to Pole: Dance","2025-09-26, 6:27 AM","35.00","0.00","0.00","Card","Succeeded","200000038","","emma.gonzalez@example.com","Emma Gonzalez","emma.gonzalez@example.com","Emma Gonzalez","Main Studio",""
"Subscription","8-Class Monthly Membership- $189","2025-09-07, 12:58 AM","189.00","0.00","0.00","Card","Succeeded","200000039","","daniel.hernandez@example.com","Daniel Hernandez","daniel.hernandez@example.com","Daniel Hernandez","Main Studio",""
"Subscription","Unlimited Monthly Membership","2025-09-20, 5:25 PM","315.00","0.00","0.00","Card","Succeeded","200000040","","charlotte.garcia@example.com","Charlotte Garcia","charlotte.garcia@example.com","Charlotte Garcia","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-11, 7:38 AM","50.00","0.00","0.00","Card","Succeeded","200000041","","harper.miller@example.com","Harper Miller","harper.miller@example.com","Harper Miller","Main Studio",""
"Class","Pole Level 2","2025-09-11, 8:23 PM","35.00","0.00","0.00","Card","Succeeded","200000042","","william.martinez@example.com","William Martinez","william.martinez@example.com","William Martinez","Main Studio",""
"Class","Pole Level 2","2025-09-17, 9:24 AM","35.00","0.00","0.00","Card","Succeeded","200000043","","sophia.rodriguez@example.com","Sophia Rodriguez","sophia.rodriguez@example.com","Sophia Rodriguez","Main Studio",""
"Appointment","1 Hr Private Lesson","2025-09-15, 2:24 PM","95.00","0.00","0.00","Card","Succeeded","200000044","","david.rodriguez@example.com","David Rodriguez","david.rodriguez@example.com","David Rodriguez","Main Studio",""
"Subscription","4-Class Monthly Membership","2025-09-08, 3:58 AM","99.00","0.00","0.00","Card","Succeeded","200000045","","william.hernandez@example.com","William Hernandez","william.hernandez@example.com","William Hernandez","Main Studio",""
"Appointment","1 Hr Private Lesson","2025-09-23, 9:14 AM","95.00","0.00","0.00","Card","Succeeded","200000046","","charles.davis@example.com","Charles Davis","charles.davis@example.com","Charles Davis","Main Studio",""
"Class","Pole Level 2","2025-09-17, 1:47 PM","35.00","0.00","0.00","Card","Succeeded","200000047","","thomas.garcia@example.com","Thomas Garcia","thomas.garcia@example.com","Thomas Garcia","Main Studio",""
"Subscription","4-Class Monthly Membership","2025-09-07, 12:30 AM","99.00","0.00","0.00","Card","Succeeded","200000048","","robert.johnson@example.com","Robert Johnson","robert.johnson@example.com","Robert Johnson","Main Studio",""
"Pack","New Flyer 6 Class Pack","2025-09-23, 8:47 PM","69.00","0.00","0.00","Card","Succeeded","200000049","","sophia.anderson@example.com","Sophia Anderson","sophia.anderson@example.com","Sophia Anderson","Main Studio",""
"Appointment","1 Hr Private Lesson","2025-09-18, 1:33 PM","95.00","0.00","0.00","Card","Succeeded","200000050","","charlotte.moore@example.com","Charlotte Moore","charlotte.moore@example.com","Charlotte Moore","Main Studio",""
"Class","Pole Level 1","2025-09-05, 11:07 AM","35.00","0.00","0.00","Card","Succeeded","200000051","","james.brown@example.com","James Brown","james.brown@example.com","James Brown","Main Studio",""
"Product","Grip Aid","2025-09-27, 5:32 AM","15.00","0.00","0.00","Card","Succeeded","200000052","","william.wilson@example.com","William Wilson","william.wilson@example.com","William Wilson","Main Studio",""
"Pack","10 Class Package","2025-09-11, 1:18 PM","280.00","0.00","0.00","Card","Succeeded","200000053","","amelia.jackson@example.com","Amelia Jackson","amelia.jackson@example.com","Amelia Jackson","Main Studio",""
"Subscription","4-Class Monthly Membership","2025-09-22, 12:08 AM","99.00","0.00","0.00","Card","Succeeded","200000054","","william.jones@example.com","William Jones","william.jones@example.com","William Jones","Main Studio",""
"Product","Dry Hands 2oz","2025-09-10, 12:36 AM","11.40","0.00","0.00","Card","Succeeded","200000055","","david.johnson@example.com","David Johnson","david.johnson@example.com","David Johnson","Main Studio",""
"Product","Studio Merchandise","2025-09-24, 6:40 PM","25.00","0.00","0.00","Card","Succeeded","200000056","","isabella.smith@example.com","Isabella Smith","isabella.smith@example.com","Isabella Smith","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-27, 1:39 AM","50.00","0.00","0.00","Card","Succeeded","200000057","","harper.hernandez@example.com","Harper Hernandez","harper.hernandez@example.com","Harper Hernandez","Main Studio",""
"Pack","5 Class Package","2025-09-12, 11:43 PM","150.00","0.00","0.00","Card","Succeeded","200000058","","charles.gonzalez@example.com","Charles Gonzalez","charles.gonzalez@example.com","Charles Gonzalez","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-18, 9:36 AM","50.00","0.00","0.00","Card","Succeeded","200000059","","evelyn.martinez@example.com","Evelyn Martinez","evelyn.martinez@example.com","Evelyn Martinez","Main Studio",""
"Class","Pole Level 2","2025-09-21, 12:24 PM","35.00","0.00","0.00","Card","Succeeded","200000060","","evelyn.jones@example.com","Evelyn Jones","evelyn.jones@example.com","Evelyn Jones","Main Studio",""
"Subscription","12-Class Monthly Membership-$269","2025-09-13, 1:46 PM","269.00","0.00","0.00","Card","Succeeded","200000061","","emma.taylor@example.com","Emma Taylor","emma.taylor@example.com","Emma Taylor","Main Studio",""
"Product","Dry Hands 2oz","2025-09-01, 7:06 PM","11.40","0.00","0.00","Card","Succeeded","200000062","","charlotte.thomas@example.com","Charlotte Thomas","charlotte.thomas@example.com","Charlotte Thomas","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-08, 9:06 PM","50.00","0.00","0.00","Card","Succeeded","200000063","","harper.rodriguez@example.com","Harper Rodriguez","harper.rodriguez@example.com","Harper Rodriguez","Main Studio",""
"Product","Grip Aid","2025-09-24, 1:56 AM","15.00","0.00","0.00","Card","Succeeded","200000064","","harper.miller@example.com","Harper Miller","harper.miller@example.com","Harper Miller","Main Studio",""
"Product","Grip Aid","2025-09-13, 4:12 AM","15.00","0.00","0.00","Card","Succeeded","200000065","","mia.taylor@example.com","Mia Taylor","mia.taylor@example.com","Mia Taylor","Main Studio",""
"Class","Pole Level 2","2025-09-27, 1:59 PM","35.00","0.00","0.00","Card","Succeeded","200000066","","harper.moore@example.com","Harper Moore","harper.moore@example.com","Harper Moore","Main Studio",""
"Product","Studio Merchandise","2025-09-04, 5:19 PM","25.00","0.00","0.00","Card","Succeeded","200000067","","mia.taylor@example.com","Mia Taylor","mia.taylor@example.com","Mia Taylor","Main Studio",""
"Subscription","8-Class Monthly Membership- $189","2025-09-20, 10:33 PM","189.00","0.00","0.00","Card","Succeeded","200000068","","amelia.smith@example.com","Amelia Smith","amelia.smith@example.com","Amelia Smith","Main Studio",""
"Class","Intro to Pole: Dance","2025-09-12, 4:12 AM","35.00","0.00","0.00","Card","Succeeded","200000069","","amelia.taylor@example.com","Amelia Taylor","amelia.taylor@example.com","Amelia Taylor","Main Studio",""
"Class","Intro to Pole: Dance","2025-09-15, 9:39 PM","35.00","0.00","0.00","Card","Succeeded","200000070","","joseph.gonzalez@example.com","Joseph Gonzalez","joseph.gonzalez@example.com","Joseph Gonzalez","Main Studio",""
"Subscription","8-Class Monthly Membership- $189","2025-09-16, 8:43 PM","189.00","0.00","0.00","Card","Succeeded","200000071","","michael.lopez@example.com","Michael Lopez","michael.lopez@example.com","Michael Lopez","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-16, 3:56 AM","50.00","0.00","0.00","Card","Succeeded","200000072","","sophia.hernandez@example.com","Sophia Hernandez","sophia.hernandez@example.com","Sophia Hernandez","Main Studio",""
"Pack","5 Class Package","2025-09-28, 10:16 AM","150.00","0.00","0.00","Card","Succeeded","200000073","","robert.johnson@example.com","Robert Johnson","robert.johnson@example.com","Robert Johnson","Main Studio",""
"Pack","10 Class Package","2025-09-04, 9:34 AM","280.00","0.00","0.00","Card","Succeeded","200000074","","amelia.jackson@example.com","Amelia Jackson","amelia.jackson@example.com","Amelia Jackson","Main Studio",""
"Subscription","4-Class Monthly Membership","2025-09-04, 2:35 AM","99.00","0.00","0.00","Card","Succeeded","200000075","","michael.rodriguez@example.com","Michael Rodriguez","michael.rodriguez@example.com","Michael Rodriguez","Main Studio",""
"Subscription","8-Class Monthly Membership- $189","2025-09-19, 6:57 PM","189.00","0.00","0.00","Card","Succeeded","200000076","","mia.martin@example.com","Mia Martin","mia.martin@example.com","Mia Martin","Main Studio",""
"Pack","5 Class Package","2025-09-02, 10:43 PM","150.00","0.00","0.00","Card","Succeeded","200000077","","sophia.lopez@example.com","Sophia Lopez","sophia.lopez@example.com","Sophia Lopez","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-19, 4:15 AM","50.00","0.00","0.00","Card","Succeeded","200000078","","evelyn.lopez@example.com","Evelyn Lopez","evelyn.lopez@example.com","Evelyn Lopez","Main Studio",""
"Subscription","8-Class Monthly Membership- $189","2025-09-01, 8:21 AM","189.00","0.00","0.00","Card","Succeeded","200000079","","harper.moore@example.com","Harper Moore","harper.moore@example.com","Harper Moore","Main Studio",""
"Product","Studio Merchandise","2025-09-18, 5:16 PM","25.00","0.00","0.00","Card","Succeeded","200000080","","mia.thomas@example.com","Mia Thomas","mia.thomas@example.com","Mia Thomas","Main Studio",""
"Pack","10 Class Package","2025-09-01, 8:05 PM","280.00","0.00","0.00","Card","Succeeded","200000081","","david.smith@example.com","David Smith","david.smith@example.com","David Smith","Main Studio",""
"Class","Pole Level 1","2025-09-12, 5:27 PM","35.00","0.00","0.00","Card","Succeeded","200000082","","robert.taylor@example.com","Robert Taylor","robert.taylor@example.com","Robert Taylor","Main Studio",""
"Class","Pole Level 1","2025-09-07, 7:17 PM","35.00","0.00","0.00","Card","Succeeded","200000083","","james.thomas@example.com","James Thomas","james.thomas@example.com","James Thomas","Main Studio",""
"Product","Studio Merchandise","2025-09-13, 9:45 AM","25.00","0.00","0.00","Card","Succeeded","200000084","","harper.miller@example.com","Harper Miller","harper.miller@example.com","Harper Miller","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-25, 11:37 AM","50.00","0.00","0.00","Card","Succeeded","200000085","","william.garcia@example.com","William Garcia","william.garcia@example.com","William Garcia","Main Studio",""
"Class","Intro to Pole: Dance","2025-09-20, 12:24 PM","35.00","0.00","0.00","Card","Succeeded","200000086","","olivia.anderson@example.com","Olivia Anderson","olivia.anderson@example.com","Olivia Anderson","Main Studio",""
"Pack","New Flyer 6 Class Pack","2025-09-16, 3:03 AM","69.00","0.00","0.00","Card","Succeeded","200000087","","robert.hernandez@example.com","Robert Hernandez","robert.hernandez@example.com","Robert Hernandez","Main Studio",""
"Class","Pole Level 1","2025-09-11, 6:51 AM","35.00","0.00","0.00","Card","Succeeded","200000088","","mia.taylor@example.com","Mia Taylor","mia.taylor@example.com","Mia Taylor","Main Studio",""
"Appointment","1 Hr Private Lesson","2025-09-10, 12:29 AM","95.00","0.00","0.00","Card","Succeeded","200000089","","ava.jackson@example.com","Ava Jackson","ava.jackson@example.com","Ava Jackson","Main Studio",""
"Product","Grip Aid","2025-09-24, 5:47 PM","15.00","0.00","0.00","Card","Succeeded","200000090","","robert.taylor@example.com","Robert Taylor","robert.taylor@example.com","Robert Taylor","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-24, 5:18 AM","50.00","0.00","0.00","Card","Succeeded","200000091","","john.hernandez@example.com","John Hernandez","john.hernandez@example.com","John Hernandez","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-03, 4:40 PM","50.00","0.00","0.00","Card","Succeeded","200000092","","amelia.jones@example.com","Amelia Jones","amelia.jones@example.com","Amelia Jones","Main Studio",""
"Product","Dry Hands 2oz","2025-09-02, 7:43 PM","11.40","0.00","0.00","Card","Succeeded","200000093","","michael.johnson@example.com","Michael Johnson","michael.johnson@example.com","Michael Johnson","Main Studio",""
"Product","Studio Merchandise","2025-09-08, 5:07 AM","25.00","0.00","0.00","Card","Succeeded","200000094","","emma.wilson@example.com","Emma Wilson","emma.wilson@example.com","Emma Wilson","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-25, 9:06 PM","50.00","0.00","0.00","Card","Succeeded","200000095","","william.garcia@example.com","William Garcia","william.garcia@example.com","William Garcia","Main Studio",""
"Subscription","Unlimited Monthly Membership","2025-09-03, 6:09 AM","315.00","0.00","0.00","Card","Succeeded","200000096","","ava.moore@example.com","Ava Moore","ava.moore@example.com","Ava Moore","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-05, 3:47 AM","50.00","0.00","0.00","Card","Succeeded","200000097","","amelia.rodriguez@example.com","Amelia Rodriguez","amelia.rodriguez@example.com","Amelia Rodriguez","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-09, 12:51 AM","50.00","0.00","0.00","Card","Succeeded","200000098","","john.anderson@example.com","John Anderson","john.anderson@example.com","John Anderson","Main Studio",""
"Class","Pole Level 2","2025-09-17, 7:51 AM","35.00","0.00","0.00","Card","Succeeded","200000099","","david.martin@example.com","David Martin","david.martin@example.com","David Martin","Main Studio",""
"Class","Pole Level 1","2025-09-19, 9:13 AM","35.00","0.00","0.00","Card","Succeeded","200000100","","evelyn.jones@example.com","Evelyn Jones","evelyn.jones@example.com","Evelyn Jones","Main Studio",""
"Product","Studio Merchandise","2025-09-22, 4:51 AM","25.00","0.00","0.00","Card","Succeeded","200000101","","robert.moore@example.com","Robert Moore","robert.moore@example.com","Robert Moore","Main Studio",""
"Pack","New Flyer 6 Class Pack","2025-09-24, 9:40 PM","69.00","0.00","0.00","Card","Succeeded","200000102","","joseph.jackson@example.com","Joseph Jackson","joseph.jackson@example.com","Joseph Jackson","Main Studio",""
"Class","Pole Level 2","2025-09-06, 5:14 PM","35.00","0.00","0.00","Card","Succeeded","200000103","","sophia.anderson@example.com","Sophia Anderson","sophia.anderson@example.com","Sophia Anderson","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-10, 9:42 AM","50.00","0.00","0.00","Card","Succeeded","200000104","","ava.williams@example.com","Ava Williams","ava.williams@example.com","Ava Williams","Main Studio",""
"Product","Studio Merchandise","2025-09-06, 4:38 PM","25.00","0.00","0.00","Card","Succeeded","200000105","","harper.rodriguez@example.com","Harper Rodriguez","harper.rodriguez@example.com","Harper Rodriguez","Main Studio",""
"Pack","5 Class Package","2025-09-07, 10:39 PM","150.00","0.00","0.00","Card","Succeeded","200000106","","john.davis@example.com","John Davis","john.davis@example.com","John Davis","Main Studio",""
"Class","Pole Level 1","2025-09-20, 8:37 AM","35.00","0.00","0.00","Card","Succeeded","200000107","","charlotte.martinez@example.com","Charlotte Martinez","charlotte.martinez@example.com","Charlotte Martinez","Main Studio",""
"Pack","New Flyer 6 Class Pack","2025-09-15, 7:22 PM","69.00","0.00","0.00","Card","Succeeded","200000108","","evelyn.williams@example.com","Evelyn Williams","evelyn.williams@example.com","Evelyn Williams","Main Studio",""
"Subscription","8-Class Monthly Membership- $189","2025-09-06, 11:57 PM","189.00","0.00","0.00","Card","Succeeded","200000109","","mia.jones@example.com","Mia Jones","mia.jones@example.com","Mia Jones","Main Studio",""
"Product","Grip Aid","2025-09-09, 2:24 AM","15.00","0.00","0.00","Card","Succeeded","200000110","","daniel.gonzalez@example.com","Daniel Gonzalez","daniel.gonzalez@example.com","Daniel Gonzalez","Main Studio",""
"Subscription","Unlimited Monthly Membership","2025-09-09, 1:39 PM","315.00","0.00","0.00","Card","Succeeded","200000111","","evelyn.hernandez@example.com","Evelyn Hernandez","evelyn.hernandez@example.com","Evelyn Hernandez","Main Studio",""
"Class","Pole Level 2","2025-09-01, 5:56 PM","35.00","0.00","0.00","Card","Succeeded","200000112","","joseph.lopez@example.com","Joseph Lopez","joseph.lopez@example.com","Joseph Lopez","Main Studio",""
"Class","Pole Level 2","2025-09-20, 2:49 AM","35.00","0.00","0.00","Card","Succeeded","200000113","","william.williams@example.com","William Williams","william.williams@example.com","William Williams","Main Studio",""
"Appointment","30 Min Private Lesson","2025-09-11, 1:58 PM","50.00","0.00","0.00","Card","Succeeded","200000114","","olivia.martinez@example.com","Olivia Martinez","olivia.martinez@example.com","Olivia Martinez","Main Studio",""
"Class","Pole Level 1","2025-09-05, 5:44 AM","35.00","0.00","0.00","Card","Succeeded","200000115","","sophia.gonzalez@example.com","Sophia Gonzalez","sophia.gonzalez@example.com","Sophia Gonzalez","Main Studio",""
"Pack","5 Class Package","2025-09-14, 4:43 PM","150.00","0.00","0.00","Card","Succeeded","200000116","","evelyn.anderson@example.com","Evelyn Anderson","evelyn.anderson@example.com","Evelyn Anderson","Main Studio",""
"Product","Grip Aid","2025-09-20, 10:44 AM","15.00","0.00","0.00","Card","Succeeded","200000117","","charles.miller@example.com","Charles Miller","charles.miller@example.com","Charles Miller","Main Studio",""
"Subscription","12-Class Monthly Membership-$269","2025-09-17, 4:26 AM","269.00","0.00","0.00","Card","Succeeded","200000118","","olivia.williams@example.com","Olivia Williams","olivia.williams@example.com","Olivia Williams","Main Studio",""
"Class","Intro to Pole: Dance","2025-09-08, 11:24 PM","35.00","0.00","0.00","Card","Succeeded","200000119","","isabella.jackson@example.com","Isabella Jackson","isabella.jackson@example.com","Isabella Jackson","Main Studio",""
"Subscription","12-Class Monthly Membership-$269","2025-09-07, 6:39 PM","269.00","0.00","0.00","Card","Succeeded","200000120","","emma.brown@example.com","Emma Brown","emma.brown@example.com","Emma Brown","Main Studio",""
"Class","Intro to Pole: Dance","2025-09-06, 5:32 PM","35.00","0.00","0.00","Card","Succeeded","200000121","","mia.smith@example.com","Mia Smith","mia.smith@example.com","Mia Smith","Main Studio",""
"Product","Dry Hands 2oz","2025-09-05, 8:02 PM","11.40","0.00","0.00","Card","Succeeded","200000122","","michael.hernandez@example.com","Michael Hernandez","michael.hernandez@example.com","Michael Hernandez","Main Studio",""
"Class","Pole Level 1","2025-09-16, 11:16 AM","35.00","0.00","0.00","Card","Succeeded","200000123","","mia.davis@example.com","Mia Davis","mia.davis@example.com","Mia Davis","Main Studio",""
"Subscription","4-Class Monthly Membership","2025-09-23, 10:48 PM","99.00","0.00","0.00","Card","Succeeded","200000124","","john.johnson@example.com","John Johnson","john.johnson@example.com","John Johnson","Main Studio",""
"Pack","10 Class Package","2025-09-13, 2:46 PM","280.00","0.00","0.00","Card","Succeeded","200000125","","olivia.wilson@example.com","Olivia Wilson","olivia.wilson@example.com","Olivia Wilson","Main Studio",""
"Class","Intro to Pole: Dance","2025-09-17, 8:49 PM","35.00","0.00","0.00","Card","Succeeded","200000126","","isabella.martinez@example.com","Isabella Martinez","isabella.martinez@example.com","Isabella Martinez","Main Studio",""
"Class","Pole Level 1","2025-09-04, 4:23 PM","35.00","0.00","0.00","Card","Succeeded","200000127","","mia.johnson@example.com","Mia Johnson","mia.johnson@example.com","Mia Johnson","Main Studio",""
"Product","Studio Merchandise","2025-09-09, 12:27 PM","25.00","0.00","0.00","Card","Succeeded","200000128","","sophia.davis@example.com","Sophia Davis","sophia.davis@example.com","Sophia Davis","Main Studio",""
"Product","Studio Merchandise","2025-09-08, 1:55 PM","25.00","0.00","0.00","Card","Succeeded","200000129","","charlotte.moore@example.com","Charlotte Moore","charlotte.moore@example.com","Charlotte Moore","Main Studio",""
"Subscription","Unlimited Monthly Membership","2025-09-22, 3:15 PM","315.00","0.00","0.00","Card","Succeeded","200000130","","robert.gonzalez@example.com","Robert Gonzalez","robert.gonzalez@example.com","Robert Gonzalez","Main Studio",""
"Subscription","8-Class Monthly Membership- $189","2025-09-13, 1:20 PM","189.00","0.00","0.00","Card","Succeeded","200000131","","john.martin@example.com","John Martin","john.martin@example.com","John Martin","Main Studio",""
"Subscription","8-Class Monthly Membership- $189","2025-09-10, 5:45 AM","189.00","0.00","0.00","Card","Succeeded","200000132","","john.smith@example.com","John Smith","john.smith@example.com","John Smith","Main Studio",""
"Subscription","4-Class Monthly Membership","2025-09-02, 10:04 AM","99.00","0.00","0.00","Card","Succeeded","200000133","","daniel.davis@example.com","Daniel Davis","daniel.davis@example.com","Daniel Davis","Main Studio",""
