"Purchase ID","First Name","Last Name","Customer Email","Intro Offer Name","Purchase date","Converted to","Conversion date","Days to convert"
"60000031","Joseph","Thomas","joseph.thomas@example.com","Unlimited 14 Day Intro Package","2025-08-20T00:43:00.000Z","12-Class Monthly Membership-$269","2025-09-13T00:43:00.000Z","24"
"60000032","Charlotte","Moore","charlotte.moore@example.com","Unlimited 14 Day Intro Package","2025-09-03T13:38:00.000Z","10 Class Package","2025-09-29T13:38:00.000Z","26"
"60000033","Joseph","Jones","joseph.jones@example.com","Unlimited 14 Day Intro Package","2025-07-23T09:58:00.000Z","8-Class Monthly Membership- $189","2025-08-08T09:58:00.000Z","16"
"60000034","Harper","Martinez","harper.martinez@example.com","Unlimited 14 Day Intro Package","2025-07-08T10:04:00.000Z","10 Class Package","2025-07-09T10:04:00.000Z","1"
"60000035","Isabella","Miller","isabella.miller@example.com","Unlimited 14 Day Intro Package","2025-07-12T04:36:00.000Z","4-Class Monthly Membership","2025-08-04T04:36:00.000Z","23"
"60000036","John","Lopez","john.lopez@example.com","New Flyer 3 Class Pack","2025-09-21T16:59:00.000Z","5 Class Package","2025-09-26T16:59:00.000Z","5"
"60000038","William","Martinez","william.martinez@example.com","New Flyer 3 Class Pack","2025-08-15T08:57:00.000Z","10 Class Package","2025-09-12T08:57:00.000Z","28"
"60000039","Thomas","Johnson","thomas.johnson@example.com","New Flyer 6 Class Pack","2025-07-22T20:29:00.000Z","Unlimited Monthly Membership","2025-08-14T20:29:00.000Z","23"
"60000040","Isabella","Lopez","isabella.lopez@example.com","New Flyer 6 Class Pack","2025-09-17T12:07:00.000Z","12-Class Monthly Membership-$269","2025-09-29T12:07:00.000Z","12"
"60000041","Robert","Garcia","robert.garcia@example.com","New Flyer 3 Class Pack","2025-09-06T09:53:00.000Z","10 Class Package","2025-09-13T09:53:00.000Z","7"
"60000042","Olivia","Hernandez","olivia.hernandez@example.com","Unlimited 14 Day Intro Package","2025-08-10T18:34:00.000Z","Unlimited Monthly Membership","2025-08-16T18:34:00.000Z","6"
"60000043","Isabella","Brown","isabella.brown@example.com","Unlimited 14 Day Intro Package","2025-08-14T04:23:00.000Z","10 Class Package","2025-08-25T04:23:00.000Z","11"
"60000044","Sophia","Johnson","sophia.johnson@example.com","New Flyer 6 Class Pack","2025-07-07T18:59:00.000Z","4-Class Monthly Membership","2025-07-21T18:59:00.000Z","14"
"60000045","Charlotte","Davis","charlotte.davis@example.com","New Flyer 6 Class Pack","2025-09-23T14:02:00.000Z","10 Class Package","2025-10-07T14:02:00.000Z","14"
"60000046","Isabella","Garcia","isabella.garcia@example.com","New Flyer 3 Class Pack","2025-09-21T03:49:00.000Z","8-Class Monthly Membership- $189","2025-10-09T03:49:00.000Z","18"
"60000047","Harper","Miller","harper.miller@example.com","New Flyer 6 Class Pack","2025-09-12T13:19:00.000Z","12-Class Monthly Membership-$269","2025-09-13T13:19:00.000Z","1"
"60000048","Evelyn","Gonzalez","evelyn.gonzalez@example.com","Unlimited 14 Day Intro Package","2025-07-12T08:26:00.000Z","Unlimited Monthly Membership","2025-07-23T08:26:00.000Z","11"
"60000050","Charlotte","Lopez","charlotte.lopez@example.com","New Flyer 3 Class Pack","2025-07-22T23:55:00.000Z","5 Class Package","2025-08-08T23:55:00.000Z","17"
"60000052","Thomas","Jones","thomas.jones@example.com","New Flyer 6 Class Pack","2025-07-25T21:55:00.000Z","Unlimited Monthly Membership","2025-07-28T21:55:00.000Z","3"
"60000053","Charlotte","Davis","charlotte.davis@example.com","New Flyer 3 Class Pack","2025-09-18T21:52:00.000Z","8-Class Monthly Membership- $189","2025-10-13T21:52:00.000Z","25"
"60000054","Amelia","Brown","amelia.brown@example.com","New Flyer 6 Class Pack","2025-07-14T10:53:00.000Z","12-Class Monthly Membership-$269","2025-07-20T10:53:00.000Z","6"
"60000055","John","Garcia","john.garcia@example.com","New Flyer 6 Class Pack","2025-08-02T12:24:00.000Z","Unlimited Monthly Membership","2025-08-08T12:24:00.000Z","6"
"60000056","Amelia","Taylor","amelia.taylor@example.com","New Flyer 6 Class Pack","2025-09-09T09:46:00.000Z","4-Class Monthly Membership","2025-09-25T09:46:00.000Z","16"
"60000057","Olivia","Williams","olivia.williams@example.com","New Flyer 6 Class Pack","2025-08-15T02:47:00.000Z","5 Class Package","2025-09-04T02:47:00.000Z","20"
"60000058","Evelyn","Davis","evelyn.davis@example.com","New Flyer 6 Class Pack","2025-07-24T23:28:00.000Z","4-Class Monthly Membership","2025-08-12T23:28:00.000Z","19"
"60000059","John","Anderson","john.anderson@example.com","Unlimited 14 Day Intro Package","2025-09-07T21:06:00.000Z","5 Class Package","2025-10-03T21:06:00.000Z","26"
"60000060","Olivia","Jones","olivia.jones@example.com","New Flyer 3 Class Pack","2025-09-27T02:53:00.000Z","5 Class Package","2025-10-18T02:53:00.000Z","21"
"60000061","Sophia","Davis","sophia.davis@example.com","Unlimited 14 Day Intro Package","2025-08-24T03:31:00.000Z","10 Class Package","2025-09-23T03:31:00.000Z","30"
"60000063","Isabella","Gonzalez","isabella.gonzalez@example.com","Unlimited 14 Day Intro Package","2025-07-13T16:01:00.000Z","8-Class Monthly Membership- $189","2025-08-06T16:01:00.000Z","24"
"60000064","Daniel","Johnson","daniel.johnson@example.com","New Flyer 3 Class Pack","2025-07-23T02:25:00.000Z","Unlimited Monthly Membership","2025-08-16T02:25:00.000Z","24"
"60000065","Emma","Miller","emma.miller@example.com","New Flyer 6 Class Pack","2025-08-01T12:55:00.000Z","10 Class Package","2025-08-09T12:55:00.000Z","8"
"60000066","Charles","Gonzalez","charles.gonzalez@example.com","New Flyer 3 Class Pack","2025-07-18T03:31:00.000Z","10 Class Package","2025-08-17T03:31:00.000Z","30"
"60000067","Amelia","Johnson","amelia.johnson@example.com","Unlimited 14 Day Intro Package","2025-08-19T20:49:00.000Z","12-Class Monthly Membership-$269","2025-09-04T20:49:00.000Z","16"
"60000068","Daniel","Lopez","daniel.lopez@example.com","New Flyer 6 Class Pack","2025-07-24T02:38:00.000Z","4-Class Monthly Membership","2025-08-16T02:38:00.000Z","23"
"60000069","Daniel","Hernandez","daniel.hernandez@example.com","New Flyer 6 Class Pack","2025-07-18T10:16:00.000Z","4-Class Monthly Membership","2025-07-21T10:16:00.000Z","3"
"60000070","William","Rodriguez","william.rodriguez@example.com","New Flyer 6 Class Pack","2025-07-02T02:45:00.000Z","4-Class Monthly Membership","2025-07-12T02:45:00.000Z","10"
"60000071","Sophia","Martinez","sophia.martinez@example.com","New Flyer 6 Class Pack","2025-09-06T08:39:00.000Z","8-Class Monthly Membership- $189","2025-09-08T08:39:00.000Z","2"
"60000073","James","Jones","james.jones@example.com","New Flyer 6 Class Pack","2025-07-13T16:36:00.000Z","8-Class Monthly Membership- $189","2025-07-19T16:36:00.000Z","6"
"60000074","Joseph","Jones","joseph.jones@example.com","Unlimited 14 Day Intro Package","2025-09-24T21:12:00.000Z","8-Class Monthly Membership- $189","2025-09-27T21:12:00.000Z","3"
"60000075","Isabella","Moore","isabella.moore@example.com","New Flyer 6 Class Pack","2025-08-15T17:09:00.000Z","5 Class Package","2025-09-11T17:09:00.000Z","27"
"60000076","John","Davis","john.davis@example.com","New Flyer 3 Class Pack","2025-07-12T19:05:00.000Z","Unlimited Monthly Membership","2025-08-11T19:05:00.000Z","30"
"60000077","Isabella","Hernandez","isabella.hernandez@example.com","New Flyer 6 Class Pack","2025-08-10T07:44:00.000Z","5 Class Package","2025-08-20T07:44:00.000Z","10"
"60000078","Amelia","Jackson","amelia.jackson@example.com","New Flyer 3 Class Pack","2025-07-06T19:28:00.000Z","12-Class Monthly Membership-$269","2025-08-03T19:28:00.000Z","28"
"60000079","Daniel","Moore","daniel.moore@example.com","New Flyer 6 Class Pack","2025-09-13T06:25:00.000Z","10 Class Package","2025-09-16T06:25:00.000Z","3"
"60000082","John","Thomas","john.thomas@example.com","New Flyer 6 Class Pack","2025-08-14T18:13:00.000Z","12-Class Monthly Membership-$269","2025-09-08T18:13:00.000Z","25"
"60000083","Evelyn","Wilson","evelyn.wilson@example.com","New Flyer 3 Class Pack","2025-08-23T20:37:00.000Z","Unlimited Monthly Membership","2025-08-26T20:37:00.000Z","3"
"60000084","Daniel","Thomas","daniel.thomas@example.com","Unlimited 14 Day Intro Package","2025-07-18T07:58:00.000Z","10 Class Package","2025-07-21T07:58:00.000Z","3"
"60000085","Joseph","Davis","joseph.davis@example.com","Unlimited 14 Day Intro Package","2025-09-24T22:53:00.000Z","Unlimited Monthly Membership","2025-09-30T22:53:00.000Z","6"
"60000086","Ava","Taylor","ava.taylor@example.com","New Flyer 3 Class Pack","2025-08-08T05:59:00.000Z","12-Class Monthly Membership-$269","2025-08-22T05:59:00.000Z","14"
"60000087","Ava","Gonzalez","ava.gonzalez@example.com","Unlimited 14 Day Intro Package","2025-07-14T07:24:00.000Z","12-Class Monthly Membership-$269","2025-07-27T07:24:00.000Z","13"
"60000089","James","Taylor","james.taylor@example.com","New Flyer 6 Class Pack","2025-09-27T03:40:00.000Z","10 Class Package","2025-09-30T03:40:00.000Z","3"
"60000090","Robert","Johnson","robert.johnson@example.com","New Flyer 6 Class Pack","2025-09-14T08:18:00.000Z","12-Class Monthly Membership-$269","2025-10-02T08:18:00.000Z","18"
"60000091","Thomas","Brown","thomas.brown@example.com","New Flyer 3 Class Pack","2025-07-04T15:07:00.000Z","4-Class Monthly Membership","2025-07-19T15:07:00.000Z","15"
